[2023-11-02 07:45:34.069] $GPRMC,074500.104,V,,,,,0.00,0.00,021123,,,N,V*37
[2023-11-02 07:45:34.088] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.088] $GPGGA,074500.104,,,,,0,0,,,M,,M,,*4B
[2023-11-02 07:45:34.089] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.089] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.089] $GPGSV,3,1,12,04,79,206,33,03,61,101,,09,44,234,,06,37,307,42,0*62
[2023-11-02 07:45:34.089] $GPGSV,3,2,12,31,34,059,28,19,23,264,,28,18,039,,17,15,242,,0*62
[2023-11-02 07:45:34.089] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.089] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.089] $GPGLL,,,,,074500.104,V,N*79
[2023-11-02 07:45:34.089] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.089] $GPRMC,074501.104,V,,,,,0.00,0.00,021123,,,N,V*36
[2023-11-02 07:45:34.089] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.089] $GPGGA,074501.104,,,,,0,0,,,M,,M,,*4A
[2023-11-02 07:45:34.089] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.089] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.089] $GPGSV,3,1,12,04,79,206,33,03,61,101,,09,44,234,,06,37,307,42,0*62
[2023-11-02 07:45:34.089] $GPGSV,3,2,12,31,34,059,29,19,23,264,,28,18,039,28,17,15,242,,0*69
[2023-11-02 07:45:34.089] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.089] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.089] $GPGLL,,,,,074501.104,V,N*78
[2023-11-02 07:45:34.089] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.089] $GPRMC,074502.104,V,,,,,0.00,0.00,021123,,,N,V*35
[2023-11-02 07:45:34.089] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.116] $GPGGA,074502.104,,,,,0,0,,,M,,M,,*49
[2023-11-02 07:45:34.116] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.116] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.116] $GPGSV,3,1,12,04,79,206,33,03,61,101,,09,44,234,,06,37,307,42,0*62
[2023-11-02 07:45:34.116] $GPGSV,3,2,12,31,34,059,28,19,23,264,,28,18,039,29,17,15,242,,0*69
[2023-11-02 07:45:34.116] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.116] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.116] $GPGLL,,,,,074502.104,V,N*7B
[2023-11-02 07:45:34.116] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.116] $GPRMC,074503.104,V,,,,,0.00,0.00,021123,,,N,V*34
[2023-11-02 07:45:34.116] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.117] $GPGGA,074503.104,,,,,0,0,,,M,,M,,*48
[2023-11-02 07:45:34.117] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.117] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.117] $GPGSV,3,1,12,04,79,206,33,03,61,101,,09,44,234,,06,37,307,42,0*62
[2023-11-02 07:45:34.117] $GPGSV,3,2,12,31,34,059,28,19,23,264,,28,18,039,29,17,15,242,,0*69
[2023-11-02 07:45:34.117] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.117] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.117] $GPGLL,,,,,074503.104,V,N*7A
[2023-11-02 07:45:34.117] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.117] $GPRMC,074504.104,V,,,,,0.00,0.00,021123,,,N,V*33
[2023-11-02 07:45:34.117] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.117] $GPGGA,074504.104,,,,,0,0,,,M,,M,,*4F
[2023-11-02 07:45:34.131] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.131] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.131] $GPGSV,3,1,12,04,79,206,33,03,61,101,,09,44,234,,06,37,307,43,0*63
[2023-11-02 07:45:34.131] $GPGSV,3,2,12,31,34,059,28,19,23,264,25,28,18,039,29,17,15,242,,0*6E
[2023-11-02 07:45:34.131] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.131] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.131] $GPGLL,,,,,074504.104,V,N*7D
[2023-11-02 07:45:34.131] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.131] $GPRMC,074505.104,V,,,,,0.00,0.00,021123,,,N,V*32
[2023-11-02 07:45:34.131] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.131] $GPGGA,074505.104,,,,,0,0,,,M,,M,,*4E
[2023-11-02 07:45:34.131] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.131] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.131] $GPGSV,3,1,12,04,79,206,32,03,61,101,22,09,45,234,,06,37,307,43,0*63
[2023-11-02 07:45:34.131] $GPGSV,3,2,12,31,34,059,28,19,23,264,27,28,18,039,30,17,15,242,,0*64
[2023-11-02 07:45:34.131] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.131] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.131] $GPGLL,,,,,074505.104,V,N*7C
[2023-11-02 07:45:34.131] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.131] $GPRMC,074506.104,V,,,,,0.00,0.00,021123,,,N,V*31
[2023-11-02 07:45:34.131] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 07:45:34.131] $GPGGA,074506.104,,,,,0,0,,,M,,M,,*4D
[2023-11-02 07:45:34.131] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 07:45:34.131] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 07:45:34.148] $GPGSV,3,1,12,04,79,206,32,03,61,101,20,09,45,234,,06,37,307,43,0*61
[2023-11-02 07:45:34.148] $GPGSV,3,2,12,31,34,059,28,19,23,264,28,28,18,039,28,17,15,242,,0*62
[2023-11-02 07:45:34.148] $GPGSV,3,3,12,26,07,088,,02,05,162,,11,05,321,,25,02,003,,0*64
[2023-11-02 07:45:34.148] $GLGSV,1,1,00,1*78
[2023-11-02 07:45:34.148] $GPGLL,,,,,074506.104,V,N*7F
[2023-11-02 07:45:34.148] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 07:45:34.148] $GPRMC,074507.104,V,,,,,0.00,0.00,021123,,,N,V*30
[2023-11-02 07:45:34.148] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
