[2023-11-02 12:00:41.391] $GPGGA,110027.204,,,,,0,0,,,M,,M,,*4B
[2023-11-02 12:00:41.391] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.391] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.391] $GPGSV,3,1,12,07,79,147,,20,54,281,,30,53,214,,09,46,096,,0*61
[2023-11-02 12:00:41.391] $GPGSV,3,2,12,05,26,311,41,11,26,248,,16,15,034,36,04,14,095,,0*66
[2023-11-02 12:00:41.391] $GPGSV,3,3,12,06,10,216,,13,07,272,41,14,03,174,,27,01,063,,0*66
[2023-11-02 12:00:41.391] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.391] $GPGLL,,,,,110027.204,V,N*79
[2023-11-02 12:00:41.391] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.391] $GPRMC,110028.204,V,,,,,0.06,0.00,021123,,,N,V*3E
[2023-11-02 12:00:41.391] $GPVTG,0.00,T,,M,0.06,N,0.12,K,N*37
[2023-11-02 12:00:41.406] $GPGGA,110028.204,,,,,0,0,,,M,,M,,*44
[2023-11-02 12:00:41.406] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.406] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.406] $GPGSV,3,1,12,07,79,147,,20,54,281,,30,53,214,,09,46,096,,0*61
[2023-11-02 12:00:41.406] $GPGSV,3,2,12,05,26,311,41,11,26,248,,16,15,034,36,04,14,095,,0*66
[2023-11-02 12:00:41.406] $GPGSV,3,3,12,06,10,216,,13,07,272,41,14,03,174,,27,01,063,,0*66
[2023-11-02 12:00:41.406] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.406] $GPGLL,,,,,110028.204,V,N*76
[2023-11-02 12:00:41.406] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.406] $GPRMC,110029.204,V,,,,,0.18,0.00,021123,,,N,V*30
[2023-11-02 12:00:41.406] $GPVTG,0.00,T,,M,0.18,N,0.34,K,N*3C
[2023-11-02 12:00:41.406] $GPGGA,110029.204,,,,,0,0,,,M,,M,,*45
[2023-11-02 12:00:41.406] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.406] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.406] $GPGSV,3,1,12,07,79,147,,20,54,281,,30,53,214,,09,46,096,23,0*60
[2023-11-02 12:00:41.406] $GPGSV,3,2,12,05,26,311,41,11,26,248,,16,15,034,36,04,14,095,,0*66
[2023-11-02 12:00:41.406] $GPGSV,3,3,12,06,10,216,,13,07,272,41,14,03,174,,27,01,063,,0*66
[2023-11-02 12:00:41.406] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.406] $GPGLL,,,,,110029.204,V,N*77
[2023-11-02 12:00:41.406] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.406] $GPRMC,110030.204,V,,,,,1.17,351.97,021123,,,N,V*3F
[2023-11-02 12:00:41.406] $GPVTG,351.97,T,,M,1.17,N,2.16,K,N*39
[2023-11-02 12:00:41.406] $GPGGA,110030.204,,,,,0,0,,,M,,M,,*4D
[2023-11-02 12:00:41.422] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.422] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.422] $GPGSV,3,1,12,07,79,147,,20,54,281,20,30,53,214,,09,46,096,23,0*62
[2023-11-02 12:00:41.422] $GPGSV,3,2,12,05,26,311,41,11,26,248,20,16,15,034,36,04,14,095,,0*64
[2023-11-02 12:00:41.422] $GPGSV,3,3,12,06,10,216,,13,07,272,41,14,03,174,,27,01,063,,0*66
[2023-11-02 12:00:41.422] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.422] $GPGLL,,,,,110030.204,V,N*7F
[2023-11-02 12:00:41.422] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.422] $GPRMC,110031.204,V,,,,,0.25,351.97,021123,,,N,V*3E
[2023-11-02 12:00:41.422] $GPVTG,351.97,T,,M,0.25,N,0.46,K,N*3E
[2023-11-02 12:00:41.422] $GPGGA,110031.204,,,,,0,0,,,M,,M,,*4C
[2023-11-02 12:00:41.422] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.422] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.422] $GPGSV,3,1,12,07,79,147,,20,54,281,17,30,53,214,,09,46,096,24,0*61
[2023-11-02 12:00:41.422] $GPGSV,3,2,12,05,26,311,41,11,26,248,22,16,15,034,36,04,14,095,,0*66
[2023-11-02 12:00:41.422] $GPGSV,3,3,12,06,10,216,,13,07,272,40,14,03,174,,27,01,063,,0*67
[2023-11-02 12:00:41.422] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.422] $GPGLL,,,,,110031.204,V,N*7E
[2023-11-02 12:00:41.422] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.422] $GPRMC,110032.204,V,,,,,0.05,351.97,021123,,,N,V*3F
[2023-11-02 12:00:41.422] $GPVTG,351.97,T,,M,0.05,N,0.09,K,N*37
[2023-11-02 12:00:41.422] $GPGGA,110032.204,,,,,0,0,,,M,,M,,*4F
[2023-11-02 12:00:41.422] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.438] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.438] $GPGSV,3,1,12,07,79,147,,20,54,281,19,30,53,214,,09,46,096,24,0*6F
[2023-11-02 12:00:41.438] $GPGSV,3,2,12,05,26,311,41,11,26,248,20,16,15,034,36,04,14,095,18,0*6D
[2023-11-02 12:00:41.438] $GPGSV,3,3,12,06,10,216,,13,07,272,40,14,03,174,,27,01,063,,0*67
[2023-11-02 12:00:41.438] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.438] $GPGLL,,,,,110032.204,V,N*7D
[2023-11-02 12:00:41.438] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.438] $GPRMC,110033.204,V,,,,,0.09,351.97,021123,,,N,V*32
[2023-11-02 12:00:41.438] $GPVTG,351.97,T,,M,0.09,N,0.16,K,N*35
[2023-11-02 12:00:41.438] $GPGGA,110033.204,,,,,0,0,,,M,,M,,*4E
[2023-11-02 12:00:41.438] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.438] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.438] $GPGSV,3,1,12,07,79,147,,20,54,281,20,30,53,214,,09,46,096,24,0*65
[2023-11-02 12:00:41.438] $GPGSV,3,2,12,05,26,311,41,11,26,248,20,16,15,034,36,04,14,095,17,0*62
[2023-11-02 12:00:41.438] $GPGSV,3,3,12,06,10,216,,13,07,272,40,14,03,174,,27,01,063,,0*67
[2023-11-02 12:00:41.438] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.438] $GPGLL,,,,,110033.204,V,N*7C
[2023-11-02 12:00:41.438] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.438] $GPRMC,110034.204,V,,,,,0.08,351.97,021123,,,N,V*34
[2023-11-02 12:00:41.438] $GPVTG,351.97,T,,M,0.08,N,0.15,K,N*37
[2023-11-02 12:00:41.438] $GPGGA,110034.204,,,,,0,0,,,M,,M,,*49
[2023-11-02 12:00:41.438] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.456] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.456] $GPGSV,3,1,12,07,79,147,,20,54,281,20,30,53,214,,09,46,096,23,0*62
[2023-11-02 12:00:41.456] $GPGSV,3,2,12,05,26,311,41,11,26,248,20,16,15,034,36,04,14,095,16,0*63
[2023-11-02 12:00:41.456] $GPGSV,3,3,12,06,10,216,,13,07,272,40,14,03,174,,27,01,063,,0*67
[2023-11-02 12:00:41.456] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.456] $GPGLL,,,,,110034.204,V,N*7B
[2023-11-02 12:00:41.456] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.456] $GNRMC,110035.204,A,5216.7082,N,02048.5529,E,0.24,351.97,021123,,,A,V*0E
[2023-11-02 12:00:41.456] $GPVTG,351.97,T,,M,0.24,N,0.44,K,A*32
[2023-11-02 12:00:41.456] $GPGGA,110035.204,5216.7082,N,02048.5529,E,1,5,1.57,122.7,M,39.0,M,,*5E
[2023-11-02 12:00:41.456] $GNGSA,A,3,16,05,20,09,04,,,,,,,,1.83,1.57,0.95,1*09
[2023-11-02 12:00:41.456] $GNGSA,A,3,,,,,,,,,,,,,1.83,1.57,0.95,2*07
[2023-11-02 12:00:41.456] $GPGSV,4,1,13,07,79,147,,20,54,281,20,30,53,214,17,09,46,096,23,0*62
[2023-11-02 12:00:41.456] $GPGSV,4,2,13,37,30,179,,05,26,311,41,11,26,248,20,16,15,034,36,0*67
[2023-11-02 12:00:41.456] $GPGSV,4,3,13,04,14,095,17,06,10,216,,13,07,272,40,14,03,174,,0*6B
[2023-11-02 12:00:41.456] $GPGSV,4,4,13,27,01,063,,0*56
[2023-11-02 12:00:41.456] $GLGSV,1,1,03,84,,,,85,,,,82,,,,1*70
[2023-11-02 12:00:41.456] $GNGLL,5216.7082,N,02048.5529,E,110035.204,A,A*4F
[2023-11-02 12:00:41.456] 2086.01.06 00:00:05
[2023-11-02 12:00:41.456] Message sent to the Astronode --> 
[2023-11-02 12:00:41.456] 3560140000000800001849
[2023-11-02 12:00:41.456] Message received from the Astronode <-- 
[2023-11-02 12:00:41.456] B58E16
[2023-11-02 12:00:41.456] Geolocation values were set successfully.
[2023-11-02 12:00:41.456] 1.8,52.278470,20.809215,25,0
[2023-11-02 12:00:41.456] Message sent to the Astronode --> 
[2023-11-02 12:00:41.456] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:00:41.456] Message received from the Astronode <-- 
[2023-11-02 12:00:41.456] A50100C1A9
[2023-11-02 12:00:41.456] Payload was successfully queued.
[2023-11-02 12:00:41.456] Evt pin is high.
[2023-11-02 12:00:41.456] Message sent to the Astronode --> 
[2023-11-02 12:00:41.456] 65F3DD
[2023-11-02 12:00:41.456] Message received from the Astronode <-- 
[2023-11-02 12:00:41.456] E50A0253
[2023-11-02 12:00:41.456] Astronode has reset.
[2023-11-02 12:00:41.456] TX message pending.
[2023-11-02 12:00:41.456] Terminal has been reset.
[2023-11-02 12:00:41.456] Message sent to the Astronode --> 
[2023-11-02 12:00:41.456] 55A0EB
[2023-11-02 12:00:41.456] Message received from the Astronode <-- 
[2023-11-02 12:00:41.456] D5287A
[2023-11-02 12:00:41.456] The reset has been cleared.
[2023-11-02 12:01:36.883] Message sent to the Astronode --> 
[2023-11-02 12:01:36.883] 172683
[2023-11-02 12:01:36.914] Message received from the Astronode <-- 
[2023-11-02 12:01:36.914] 970606FA0A2B98
[2023-11-02 12:01:36.914] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184157702s.
[2023-11-02 12:01:36.914] Message sent to the Astronode --> 
[2023-11-02 12:01:36.930] 18C972
[2023-11-02 12:01:36.955] Message received from the Astronode <-- 
[2023-11-02 12:01:36.955] 9800000000AB35
[2023-11-02 12:01:36.962] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:01:36.962] Message sent to the Astronode --> 
[2023-11-02 12:01:36.962] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:01:37.063] Message received from the Astronode <-- 
[2023-11-02 12:01:37.063] FF11257A47
[2023-11-02 12:01:37.063] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:01:37.071] Payload failed to be queued.
[2023-11-02 12:02:36.723] Message sent to the Astronode --> 
[2023-11-02 12:02:36.723] 172683
[2023-11-02 12:02:36.741] Message received from the Astronode <-- 
[2023-11-02 12:02:36.755] 974206FA0A463C
[2023-11-02 12:02:36.755] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184157762s.
[2023-11-02 12:02:36.755] Message sent to the Astronode --> 
[2023-11-02 12:02:36.771] 18C972
[2023-11-02 12:02:36.786] Message received from the Astronode <-- 
[2023-11-02 12:02:36.786] 9800000000AB35
[2023-11-02 12:02:36.802] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:02:36.802] Message sent to the Astronode --> 
[2023-11-02 12:02:36.802] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:02:36.896] Message received from the Astronode <-- 
[2023-11-02 12:02:36.896] FF11257A47
[2023-11-02 12:02:36.896] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:02:36.912] Payload failed to be queued.
[2023-11-02 12:03:36.558] Message sent to the Astronode --> 
[2023-11-02 12:03:36.558] 172683
[2023-11-02 12:03:36.587] Message received from the Astronode <-- 
[2023-11-02 12:03:36.600] 977E06FA0A9D5F
[2023-11-02 12:03:36.600] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184157822s.
[2023-11-02 12:03:36.600] Message sent to the Astronode --> 
[2023-11-02 12:03:36.600] 18C972
[2023-11-02 12:03:36.631] Message received from the Astronode <-- 
[2023-11-02 12:03:36.647] 9800000000AB35
[2023-11-02 12:03:36.647] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:03:36.647] Message sent to the Astronode --> 
[2023-11-02 12:03:36.647] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:03:36.726] Message received from the Astronode <-- 
[2023-11-02 12:03:36.741] FF11257A47
[2023-11-02 12:03:36.741] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:03:36.757] Payload failed to be queued.
[2023-11-02 12:04:36.404] Message sent to the Astronode --> 
[2023-11-02 12:04:36.404] 172683
[2023-11-02 12:04:36.433] Message received from the Astronode <-- 
[2023-11-02 12:04:36.433] 97B906FA0A14BD
[2023-11-02 12:04:36.433] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184157881s.
[2023-11-02 12:04:36.433] Message sent to the Astronode --> 
[2023-11-02 12:04:36.449] 18C972
[2023-11-02 12:04:36.470] Message received from the Astronode <-- 
[2023-11-02 12:04:36.480] 9800000000AB35
[2023-11-02 12:04:36.480] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:04:36.480] Message sent to the Astronode --> 
[2023-11-02 12:04:36.480] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:04:36.574] Message received from the Astronode <-- 
[2023-11-02 12:04:36.590] FF11257A47
[2023-11-02 12:04:36.590] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:04:36.606] Payload failed to be queued.
[2023-11-02 12:05:36.252] Message sent to the Astronode --> 
[2023-11-02 12:05:36.252] 172683
[2023-11-02 12:05:36.267] Message received from the Astronode <-- 
[2023-11-02 12:05:36.283] 97F506FA0ABA9C
[2023-11-02 12:05:36.283] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184157941s.
[2023-11-02 12:05:36.299] Message sent to the Astronode --> 
[2023-11-02 12:05:36.299] 18C972
[2023-11-02 12:05:36.315] Message received from the Astronode <-- 
[2023-11-02 12:05:36.346] 9800000000AB35
[2023-11-02 12:05:36.346] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:05:36.346] Message sent to the Astronode --> 
[2023-11-02 12:05:36.346] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:05:36.425] Message received from the Astronode <-- 
[2023-11-02 12:05:36.425] FF11257A47
[2023-11-02 12:05:36.440] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:05:36.456] Payload failed to be queued.
[2023-11-02 12:06:36.091] Message sent to the Astronode --> 
[2023-11-02 12:06:36.107] 172683
[2023-11-02 12:06:36.123] Message received from the Astronode <-- 
[2023-11-02 12:06:36.123] 973107FA0ADFD2
[2023-11-02 12:06:36.138] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184158001s.
[2023-11-02 12:06:36.138] Message sent to the Astronode --> 
[2023-11-02 12:06:36.154] 18C972
[2023-11-02 12:06:36.170] Message received from the Astronode <-- 
[2023-11-02 12:06:36.170] 9800000000AB35
[2023-11-02 12:06:36.170] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:06:36.185] Message sent to the Astronode --> 
[2023-11-02 12:06:36.185] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:06:36.270] Message received from the Astronode <-- 
[2023-11-02 12:06:36.281] FF11257A47
[2023-11-02 12:06:36.281] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:06:36.297] Payload failed to be queued.
[2023-11-02 12:07:35.940] Message sent to the Astronode --> 
[2023-11-02 12:07:35.940] 172683
[2023-11-02 12:07:35.972] Message received from the Astronode <-- 
[2023-11-02 12:07:35.972] 976D07FA0AD6E8
[2023-11-02 12:07:35.972] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184158061s.
[2023-11-02 12:07:35.987] Message sent to the Astronode --> 
[2023-11-02 12:07:35.987] 18C972
[2023-11-02 12:07:36.014] Message received from the Astronode <-- 
[2023-11-02 12:07:36.014] 9800000000AB35
[2023-11-02 12:07:36.019] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:07:36.019] Message sent to the Astronode --> 
[2023-11-02 12:07:36.019] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:07:36.118] Message received from the Astronode <-- 
[2023-11-02 12:07:36.118] FF11257A47
[2023-11-02 12:07:36.118] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 12:07:36.149] Payload failed to be queued.
[2023-11-02 12:08:35.784] Message sent to the Astronode --> 
[2023-11-02 12:08:35.784] 172683
[2023-11-02 12:08:35.814] Message received from the Astronode <-- 
[2023-11-02 12:08:35.814] 97A907FA0A8391
[2023-11-02 12:08:35.814] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184158121s.
[2023-11-02 12:08:35.829] Message sent to the Astronode --> 
[2023-11-02 12:08:35.829] 18C972
[2023-11-02 12:08:35.845] Message received from the Astronode <-- 
[2023-11-02 12:08:35.845] 9800000000AB35
[2023-11-02 12:08:35.861] Next opportunity for communication with the Astrocast Network: 0s.
[2023-11-02 12:08:35.861] Message sent to the Astronode --> 
[2023-11-02 12:08:35.861] 250100312E382C35322E3237383437302C32302E3830393231352C32352C30A05D
[2023-11-02 12:08:35.955] Message received from the Astronode <-- 
[2023-11-02 12:08:35.955] FF11257A47
