[2023-11-05 14:30:07.901] $GPRMC,235945.100,V,,,,,0.00,0.00,050180,,,N,V*36
[2023-11-05 14:30:07.910] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.910] $GPGGA,235945.100,,,,,0,0,,,M,,M,,*45
[2023-11-05 14:30:07.910] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.910] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.910] $GPGSV,1,1,00,0*65
[2023-11-05 14:30:07.910] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.910] $GPGLL,,,,,235945.100,V,N*77
[2023-11-05 14:30:07.910] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.910] $GPRMC,235946.099,V,,,,,0.00,0.00,050180,,,N,V*34
[2023-11-05 14:30:07.910] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.910] $GPGGA,235946.099,,,,,0,0,,,M,,M,,*47
[2023-11-05 14:30:07.910] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.910] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.910] $GPGSV,1,1,01,15,,,36,0*65
[2023-11-05 14:30:07.910] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.910] $GPGLL,,,,,235946.099,V,N*75
[2023-11-05 14:30:07.910] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.910] $GPRMC,235947.099,V,,,,,0.00,0.00,050180,,,N,V*35
[2023-11-05 14:30:07.910] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.910] $GPGGA,235947.099,,,,,0,0,,,M,,M,,*46
[2023-11-05 14:30:07.910] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.910] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.910] $GPGSV,1,1,01,15,,,37,0*64
[2023-11-05 14:30:07.910] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.910] $GPGLL,,,,,235947.099,V,N*74
[2023-11-05 14:30:07.910] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.910] $GPRMC,235948.099,V,,,,,0.00,0.00,050180,,,N,V*3A
[2023-11-05 14:30:07.910] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.910] $GPGGA,235948.099,,,,,0,0,,,M,,M,,*49
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.926] $GPGSV,1,1,01,15,,,37,0*64
[2023-11-05 14:30:07.926] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.926] $GPGLL,,,,,235948.099,V,N*7B
[2023-11-05 14:30:07.926] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.926] $GPRMC,235949.099,V,,,,,0.00,0.00,050180,,,N,V*3B
[2023-11-05 14:30:07.926] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.926] $GPGGA,235949.099,,,,,0,0,,,M,,M,,*48
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.926] $GPGSV,1,1,01,15,,,37,0*64
[2023-11-05 14:30:07.926] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.926] $GPGLL,,,,,235949.099,V,N*7A
[2023-11-05 14:30:07.926] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.926] $GPRMC,235950.099,V,,,,,0.00,0.00,050180,,,N,V*33
[2023-11-05 14:30:07.926] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.926] $GPGGA,235950.099,,,,,0,0,,,M,,M,,*40
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.926] $GPGSV,1,1,01,15,,,37,0*64
[2023-11-05 14:30:07.926] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.926] $GPGLL,,,,,235950.099,V,N*72
[2023-11-05 14:30:07.926] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.926] $GPRMC,235951.099,V,,,,,0.00,0.00,050180,,,N,V*32
[2023-11-05 14:30:07.926] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.926] $GPGGA,235951.099,,,,,0,0,,,M,,M,,*41
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.926] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.942] $GPGSV,1,1,01,15,,,37,0*64
[2023-11-05 14:30:07.942] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.942] $GPGLL,,,,,235951.099,V,N*73
[2023-11-05 14:30:07.942] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.942] $GPRMC,235952.099,V,,,,,0.00,0.00,050180,,,N,V*31
[2023-11-05 14:30:07.942] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.942] $GPGGA,235952.099,,,,,0,0,,,M,,M,,*42
[2023-11-05 14:30:07.942] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.942] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.942] $GPGSV,1,1,02,15,,,37,08,,,30,0*6C
[2023-11-05 14:30:07.942] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.942] $GPGLL,,,,,235952.099,V,N*70
[2023-11-05 14:30:07.942] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.942] $GPRMC,235953.099,V,,,,,0.00,0.00,050180,,,N,V*30
[2023-11-05 14:30:07.942] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.942] $GPGGA,235953.099,,,,,0,0,,,M,,M,,*43
[2023-11-05 14:30:07.942] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.942] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.942] $GPGSV,1,1,02,15,,,37,08,,,31,0*6D
[2023-11-05 14:30:07.942] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.942] $GPGLL,,,,,235953.099,V,N*71
[2023-11-05 14:30:07.942] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.942] $GPRMC,235954.099,V,,,,,0.00,0.00,050180,,,N,V*37
[2023-11-05 14:30:07.942] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.942] $GPGGA,235954.099,,,,,0,0,,,M,,M,,*44
[2023-11-05 14:30:07.942] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.942] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.942] $GPGSV,1,1,02,15,,,37,08,,,31,0*6D
[2023-11-05 14:30:07.942] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.957] $GPGLL,,,,,235954.099,V,N*76
[2023-11-05 14:30:07.957] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.957] $GPRMC,235954.769,V,,,,,0.00,0.00,050180,,,N,V*3F
[2023-11-05 14:30:07.957] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.957] $GPGGA,235954.769,,,,,0,0,,,M,,M,,*4C
[2023-11-05 14:30:07.957] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.957] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.957] $GPGSV,1,1,02,15,,,37,08,,,30,0*6C
[2023-11-05 14:30:07.957] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.957] $GPGLL,,,,,235954.769,V,N*7E
[2023-11-05 14:30:07.957] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.957] $GPRMC,235955.769,V,,,,,0.00,0.00,050180,,,N,V*3E
[2023-11-05 14:30:07.957] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.957] $GPGGA,235955.769,,,,,0,0,,,M,,M,,*4D
[2023-11-05 14:30:07.957] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.957] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.957] $GPGSV,1,1,02,15,,,37,08,,,32,0*6E
[2023-11-05 14:30:07.957] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.957] $GPGLL,,,,,235955.769,V,N*7F
[2023-11-05 14:30:07.957] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.957] $GPRMC,132956.102,V,,,,,0.00,0.00,051123,,,N,V*3A
[2023-11-05 14:30:07.957] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.957] $GPGGA,132956.102,,,,,0,0,,,M,,M,,*41
[2023-11-05 14:30:07.957] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.957] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.957] $GPGSV,2,1,07,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*6E
[2023-11-05 14:30:07.957] $GPGSV,2,2,07,07,21,080,,08,15,035,32,17,09,136,,0*5E
[2023-11-05 14:30:07.973] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.973] $GPGLL,,,,,132956.102,V,N*73
[2023-11-05 14:30:07.973] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.973] $GPRMC,132957.102,V,,,,,0.00,0.00,051123,,,N,V*3B
[2023-11-05 14:30:07.973] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.973] $GPGGA,132957.102,,,,,0,0,,,M,,M,,*40
[2023-11-05 14:30:07.973] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.973] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.973] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:07.973] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:07.973] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:07.973] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.973] $GPGLL,,,,,132957.102,V,N*72
[2023-11-05 14:30:07.973] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.973] $GPRMC,132958.102,V,,,,,0.00,0.00,051123,,,N,V*34
[2023-11-05 14:30:07.973] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.973] $GPGGA,132958.102,,,,,0,0,,,M,,M,,*4F
[2023-11-05 14:30:07.973] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.973] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.973] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:07.973] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:07.973] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:07.973] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.973] $GPGLL,,,,,132958.102,V,N*7D
[2023-11-05 14:30:07.973] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.973] $GPRMC,132959.102,V,,,,,0.00,0.00,051123,,,N,V*35
[2023-11-05 14:30:07.989] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.989] $GPGGA,132959.102,,,,,0,0,,,M,,M,,*4E
[2023-11-05 14:30:07.989] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.989] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.989] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:07.989] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:07.989] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:07.989] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.989] $GPGLL,,,,,132959.102,V,N*7C
[2023-11-05 14:30:07.989] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.989] $GPRMC,133000.102,V,,,,,0.00,0.00,051123,,,N,V*31
[2023-11-05 14:30:07.989] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.989] $GPGGA,133000.102,,,,,0,0,,,M,,M,,*4A
[2023-11-05 14:30:07.989] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:07.989] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:07.989] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:07.989] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:07.989] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:07.989] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:07.989] $GPGLL,,,,,133000.102,V,N*78
[2023-11-05 14:30:07.989] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:07.989] $GPRMC,133001.102,V,,,,,0.00,0.00,051123,,,N,V*30
[2023-11-05 14:30:07.989] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:07.989] $GPGGA,133001.102,,,,,0,0,,,M,,M,,*4B
[2023-11-05 14:30:07.989] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.006] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.006] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.006] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:08.006] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.006] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.006] $GPGLL,,,,,133001.102,V,N*79
[2023-11-05 14:30:08.006] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.006] $GPRMC,133002.102,V,,,,,0.00,0.00,051123,,,N,V*33
[2023-11-05 14:30:08.006] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.006] $GPGGA,133002.102,,,,,0,0,,,M,,M,,*48
[2023-11-05 14:30:08.006] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.006] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.006] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.006] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:08.006] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.006] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.006] $GPGLL,,,,,133002.102,V,N*7A
[2023-11-05 14:30:08.006] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.006] $GPRMC,133003.102,V,,,,,0.00,0.00,051123,,,N,V*32
[2023-11-05 14:30:08.006] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.006] $GPGGA,133003.102,,,,,0,0,,,M,,M,,*49
[2023-11-05 14:30:08.006] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.006] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.006] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.006] $GPGSV,3,2,09,07,21,080,,08,15,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:08.021] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.021] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.021] $GPGLL,,,,,133003.102,V,N*7B
[2023-11-05 14:30:08.021] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.021] $GPRMC,133004.102,V,,,,,0.00,0.00,051123,,,N,V*35
[2023-11-05 14:30:08.021] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.021] $GPGGA,133004.102,,,,,0,0,,,M,,M,,*4E
[2023-11-05 14:30:08.021] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.021] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.021] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.021] $GPGSV,3,2,09,07,21,081,,08,15,035,32,20,10,204,,17,09,136,,0*65
[2023-11-05 14:30:08.021] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.021] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.021] $GPGLL,,,,,133004.102,V,N*7C
[2023-11-05 14:30:08.021] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.021] $GPRMC,133005.102,V,,,,,0.00,0.00,051123,,,N,V*34
[2023-11-05 14:30:08.021] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.021] $GPGGA,133005.102,,,,,0,0,,,M,,M,,*4F
[2023-11-05 14:30:08.021] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.021] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.021] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.021] $GPGSV,3,2,09,07,21,081,,08,14,035,32,20,10,204,,17,09,136,,0*64
[2023-11-05 14:30:08.021] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.021] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.021] $GPGLL,,,,,133005.102,V,N*7D
[2023-11-05 14:30:08.026] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.026] $GPRMC,133006.102,V,,,,,0.00,0.00,051123,,,N,V*37
[2023-11-05 14:30:08.026] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.026] $GPGGA,133006.102,,,,,0,0,,,M,,M,,*4C
[2023-11-05 14:30:08.026] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.026] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.026] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.026] $GPGSV,3,2,09,07,21,081,,08,14,035,31,20,10,204,,17,09,136,,0*67
[2023-11-05 14:30:08.026] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.026] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.026] $GPGLL,,,,,133006.102,V,N*7E
[2023-11-05 14:30:08.026] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.026] $GPRMC,133007.102,V,,,,,0.00,0.00,051123,,,N,V*36
[2023-11-05 14:30:08.026] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.026] $GPGGA,133007.102,,,,,0,0,,,M,,M,,*4D
[2023-11-05 14:30:08.026] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-05 14:30:08.053] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-05 14:30:08.086] $GPGSV,3,1,09,13,76,282,,14,67,118,,30,51,080,,15,37,300,37,0*61
[2023-11-05 14:30:08.147] $GPGSV,3,2,09,07,21,081,,08,14,035,31,20,10,204,,17,09,136,,0*67
[2023-11-05 14:30:08.216] $GPGSV,3,3,09,18,04,305,,0*57
[2023-11-05 14:30:08.256] $GLGSV,1,1,01,70,,,,1*7E
[2023-11-05 14:30:08.275] $GPGLL,,,,,133007.102,V,N*7F
[2023-11-05 14:30:08.306] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-05 14:30:08.887] $GPRMC,133008.102,V,,,,,0.00,0.00,051123,,,N,V*39
[2023-11-05 14:30:08.934] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-05 14:30:08.972] $GPGGA,133008.102,,,,,0,0,,,M,,M,,*42
[2023-11-05 14:30:09.013] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
