[2023-11-01 10:58:12.290] $GPRMC,000048.870,V,,,,,0.00,0.00,060180,,,N,V*3B
[2023-11-01 10:58:12.290] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.290] $GPGGA,000048.870,,,,,0,0,,,M,,M,,*4B
[2023-11-01 10:58:12.290] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.290] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.290] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.290] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.290] $GPGLL,,,,,000048.870,V,N*79
[2023-11-01 10:58:12.290] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.290] $GPRMC,000049.870,V,,,,,0.00,0.00,060180,,,N,V*3A
[2023-11-01 10:58:12.290] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.290] $GPGGA,000049.870,,,,,0,0,,,M,,M,,*4A
[2023-11-01 10:58:12.290] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.290] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.290] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.290] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.290] $GPGLL,,,,,000049.870,V,N*78
[2023-11-01 10:58:12.290] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.290] $GPRMC,000050.870,V,,,,,0.00,0.00,060180,,,N,V*32
[2023-11-01 10:58:12.290] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.304] $GPGGA,000050.870,,,,,0,0,,,M,,M,,*42
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.304] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.304] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.304] $GPGLL,,,,,000050.870,V,N*70
[2023-11-01 10:58:12.304] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
